term,coefficient,odds_ratio,ci_lower,ci_upper,z,p_value,sample_size,model_sample,analysis_window,cohort_definition,denominator
category_model_small_appliances,-1.8319473869020002,0.16010148446648464,0.11470108408757404,0.22347204067227186,-10.766966383453115,4.9297748221015876e-27,84763,review_after_delivery,"[2017-01-01,2018-08-01)",all canonical reviews vs review-after-delivery; same covariates; category/state count>=500 else Other,reviewed valid orders with covariates; customer-cluster robust covariance
category_model_sports_leisure,-1.885841595662153,0.15170133450553575,0.12642433754372204,0.18203215724030694,-20.278642522574234,1.9853504183775648e-91,84763,review_after_delivery,"[2017-01-01,2018-08-01)",all canonical reviews vs review-after-delivery; same covariates; category/state count>=500 else Other,reviewed valid orders with covariates; customer-cluster robust covariance
category_model_stationery,-2.0524949028177613,0.12841412283888867,0.10098755580586971,0.16328929651669738,-16.743380390672293,6.32896838325297e-63,84763,review_after_delivery,"[2017-01-01,2018-08-01)",all canonical reviews vs review-after-delivery; same covariates; category/state count>=500 else Other,reviewed valid orders with covariates; customer-cluster robust covariance
category_model_telephony,-1.4469054488523536,0.2352973021589548,0.19411875083836927,0.2852110894190812,-14.741066599764412,3.511939810979845e-49,84763,review_after_delivery,"[2017-01-01,2018-08-01)",all canonical reviews vs review-after-delivery; same covariates; category/state count>=500 else Other,reviewed valid orders with covariates; customer-cluster robust covariance
category_model_toys,-1.855376005583168,0.15639412655329388,0.12771173371274394,0.19151821143844522,-17.948692014970064,4.913395308577358e-72,84763,review_after_delivery,"[2017-01-01,2018-08-01)",all canonical reviews vs review-after-delivery; same covariates; category/state count>=500 else Other,reviewed valid orders with covariates; customer-cluster robust covariance
category_model_watches_gifts,-1.6442986931978607,0.19314797129284822,0.16048623571049447,0.2324569371908036,-17.3969984045601,8.694088506399983e-68,84763,review_after_delivery,"[2017-01-01,2018-08-01)",all canonical reviews vs review-after-delivery; same covariates; category/state count>=500 else Other,reviewed valid orders with covariates; customer-cluster robust covariance
state_model_CE,-0.31445219410006936,0.7301887664417306,0.5729949319541972,0.9305067198749953,-2.5422786082480537,0.011013234692254433,84763,review_after_delivery,"[2017-01-01,2018-08-01)",all canonical reviews vs review-after-delivery; same covariates; category/state count>=500 else Other,reviewed valid orders with covariates; customer-cluster robust covariance
state_model_DF,-0.029502622704320504,0.9709283311799258,0.7966757269229362,1.1832942719729993,-0.2923288045262775,0.7700352373551904,84763,review_after_delivery,"[2017-01-01,2018-08-01)",all canonical reviews vs review-after-delivery; same covariates; category/state count>=500 else Other,reviewed valid orders with covariates; customer-cluster robust covariance
state_model_ES,-0.14188294274573895,0.8677228237924158,0.707131140457523,1.064785378343146,-1.358793231159632,0.17421211883948717,84763,review_after_delivery,"[2017-01-01,2018-08-01)",all canonical reviews vs review-after-delivery; same covariates; category/state count>=500 else Other,reviewed valid orders with covariates; customer-cluster robust covariance
state_model_GO,-0.0819845110580909,0.9212862283347099,0.7536699400956265,1.126180399886325,-0.8001677960667132,0.4236135854858639,84763,review_after_delivery,"[2017-01-01,2018-08-01)",all canonical reviews vs review-after-delivery; same covariates; category/state count>=500 else Other,reviewed valid orders with covariates; customer-cluster robust covariance
state_model_MA,-0.15410008822052926,0.857186222474148,0.6469397488432167,1.135759893117292,-1.0733065033109115,0.28313361828437755,84763,review_after_delivery,"[2017-01-01,2018-08-01)",all canonical reviews vs review-after-delivery; same covariates; category/state count>=500 else Other,reviewed valid orders with covariates; customer-cluster robust covariance
state_model_MG,-0.07535159749516068,0.9274173513800834,0.8072755144287861,1.0654391571004638,-1.0644935676222071,0.2871051667982183,84763,review_after_delivery,"[2017-01-01,2018-08-01)",all canonical reviews vs review-after-delivery; same covariates; category/state count>=500 else Other,reviewed valid orders with covariates; customer-cluster robust covariance
state_model_MS,-0.243546452407316,0.7838430637892904,0.5785328132386424,1.0620140026476597,-1.5716857515273885,0.11602344822679203,84763,review_after_delivery,"[2017-01-01,2018-08-01)",all canonical reviews vs review-after-delivery; same covariates; category/state count>=500 else Other,reviewed valid orders with covariates; customer-cluster robust covariance
state_model_MT,-0.1014950076385508,0.9034856898580895,0.6977919287198366,1.1698134618379727,-0.770020482116932,0.4412877430042016,84763,review_after_delivery,"[2017-01-01,2018-08-01)",all canonical reviews vs review-after-delivery; same covariates; category/state count>=500 else Other,reviewed valid orders with covariates; customer-cluster robust covariance
state_model_Other (<500),-0.3600742160139117,0.6976245492364684,0.5817858802527078,0.8365277127144931,-3.886650456002851,0.00010163694134345044,84763,review_after_delivery,"[2017-01-01,2018-08-01)",all canonical reviews vs review-after-delivery; same covariates; category/state count>=500 else Other,reviewed valid orders with covariates; customer-cluster robust covariance
state_model_PA,-0.14006924599088863,0.8692980379105999,0.6736371583246957,1.1217894817360692,-1.0766145024567473,0.2816525225189952,84763,review_after_delivery,"[2017-01-01,2018-08-01)",all canonical reviews vs review-after-delivery; same covariates; category/state count>=500 else Other,reviewed valid orders with covariates; customer-cluster robust covariance
state_model_PE,-0.2159654525976228,0.8057631384160003,0.6481152509597541,1.0017573792139003,-1.9441576435146617,0.051876443789078526,84763,review_after_delivery,"[2017-01-01,2018-08-01)",all canonical reviews vs review-after-delivery; same covariates; category/state count>=500 else Other,reviewed valid orders with covariates; customer-cluster robust covariance
state_model_PR,-0.10398753591201768,0.9012365304426083,0.7688684445989803,1.0563930533367965,-1.2830630721085754,0.19946997995020566,84763,review_after_delivery,"[2017-01-01,2018-08-01)",all canonical reviews vs review-after-delivery; same covariates; category/state count>=500 else Other,reviewed valid orders with covariates; customer-cluster robust covariance
state_model_RJ,0.07747689587803121,1.0805572668432692,0.9426164612254253,1.2386840830361494,1.1118761584025052,0.26619140092482574,84763,review_after_delivery,"[2017-01-01,2018-08-01)",all canonical reviews vs review-after-delivery; same covariates; category/state count>=500 else Other,reviewed valid orders with covariates; customer-cluster robust covariance
state_model_RS,-0.19908311172066653,0.8194817819615845,0.699796709634267,0.9596363940006299,-2.4714344520081934,0.013457221913826738,84763,review_after_delivery,"[2017-01-01,2018-08-01)",all canonical reviews vs review-after-delivery; same covariates; category/state count>=500 else Other,reviewed valid orders with covariates; customer-cluster robust covariance
state_model_SC,-0.1661144036956074,0.8469493345128043,0.7124685160744739,1.0068138578023857,-1.8829875491239347,0.059702055323902076,84763,review_after_delivery,"[2017-01-01,2018-08-01)",all canonical reviews vs review-after-delivery; same covariates; category/state count>=500 else Other,reviewed valid orders with covariates; customer-cluster robust covariance
state_model_SP,-0.05614986816117337,0.9453974402968771,0.8314046132346506,1.0750196786166177,-0.856508031279136,0.3917168324020608,84763,review_after_delivery,"[2017-01-01,2018-08-01)",all canonical reviews vs review-after-delivery; same covariates; category/state count>=500 else Other,reviewed valid orders with covariates; customer-cluster robust covariance
month_2017-02,-0.11276658906207451,0.8933591555809164,0.661199789340751,1.2070339309333173,-0.7344449287061594,0.462677612698673,84763,review_after_delivery,"[2017-01-01,2018-08-01)",all canonical reviews vs review-after-delivery; same covariates; category/state count>=500 else Other,reviewed valid orders with covariates; customer-cluster robust covariance
month_2017-03,-0.1703059335230051,0.8434067507243204,0.6339514804606717,1.1220652827412787,-1.1692486115025218,0.24230348085005504,84763,review_after_delivery,"[2017-01-01,2018-08-01)",all canonical reviews vs review-after-delivery; same covariates; category/state count>=500 else Other,reviewed valid orders with covariates; customer-cluster robust covariance
month_2017-04,-0.0677497679091319,0.9344942847812454,0.7021213481173053,1.243772989712471,-0.4644541731355597,0.6423223851543212,84763,review_after_delivery,"[2017-01-01,2018-08-01)",all canonical reviews vs review-after-delivery; same covariates; category/state count>=500 else Other,reviewed valid orders with covariates; customer-cluster robust covariance
month_2017-05,-0.16903459861164077,0.8444796850559186,0.6404145935390911,1.1135691560854677,-1.1977434666962732,0.23101690191133795,84763,review_after_delivery,"[2017-01-01,2018-08-01)",all canonical reviews vs review-after-delivery; same covariates; category/state count>=500 else Other,reviewed valid orders with covariates; customer-cluster robust covariance
month_2017-06,-0.1088294255177696,0.8968833898711213,0.6787407512419671,1.1851355816706366,-0.7653821460693353,0.44404402127437537,84763,review_after_delivery,"[2017-01-01,2018-08-01)",all canonical reviews vs review-after-delivery; same covariates; category/state count>=500 else Other,reviewed valid orders with covariates; customer-cluster robust covariance
month_2017-07,-0.2643941459135967,0.7676709056691927,0.5822507286957787,1.0121389126141787,-1.8744232609453035,0.0608721099054259,84763,review_after_delivery,"[2017-01-01,2018-08-01)",all canonical reviews vs review-after-delivery; same covariates; category/state count>=500 else Other,reviewed valid orders with covariates; customer-cluster robust covariance
month_2017-08,-0.2755231514993958,0.7591748558543749,0.5771104108504213,0.9986762514164584,-1.9694323735056696,0.04890346124078689,84763,review_after_delivery,"[2017-01-01,2018-08-01)",all canonical reviews vs review-after-delivery; same covariates; category/state count>=500 else Other,reviewed valid orders with covariates; customer-cluster robust covariance
month_2017-09,-0.2565794027202233,0.7736935587472356,0.5885763658644056,1.017033230629016,-1.8389142133611756,0.06592780490235779,84763,review_after_delivery,"[2017-01-01,2018-08-01)",all canonical reviews vs review-after-delivery; same covariates; category/state count>=500 else Other,reviewed valid orders with covariates; customer-cluster robust covariance
month_2017-10,-0.16038778473168264,0.8518134046787834,0.6500436141348656,1.1162113750723228,-1.162862304314165,0.24488537369217978,84763,review_after_delivery,"[2017-01-01,2018-08-01)",all canonical reviews vs review-after-delivery; same covariates; category/state count>=500 else Other,reviewed valid orders with covariates; customer-cluster robust covariance
month_2017-11,-0.086082147133509,0.9175188565802795,0.7057807052504242,1.1927796352575022,-0.6430568857909221,0.52018718881562,84763,review_after_delivery,"[2017-01-01,2018-08-01)",all canonical reviews vs review-after-delivery; same covariates; category/state count>=500 else Other,reviewed valid orders with covariates; customer-cluster robust covariance
month_2017-12,0.03231810386522821,1.0328460053602704,0.7925742607455698,1.345956995607153,0.23921973988380338,0.8109351967528563,84763,review_after_delivery,"[2017-01-01,2018-08-01)",all canonical reviews vs review-after-delivery; same covariates; category/state count>=500 else Other,reviewed valid orders with covariates; customer-cluster robust covariance
month_2018-01,-0.007276097971745846,0.9927503087443355,0.7642242849524867,1.2896124801546276,-0.05451038214190073,0.9565285371361492,84763,review_after_delivery,"[2017-01-01,2018-08-01)",all canonical reviews vs review-after-delivery; same covariates; category/state count>=500 else Other,reviewed valid orders with covariates; customer-cluster robust covariance
month_2018-02,0.0525257272835726,1.0539296764773982,0.8102035800380432,1.3709736544333675,0.391446053825557,0.6954675564993804,84763,review_after_delivery,"[2017-01-01,2018-08-01)",all canonical reviews vs review-after-delivery; same covariates; category/state count>=500 else Other,reviewed valid orders with covariates; customer-cluster robust covariance
month_2018-03,-0.05985816702230939,0.9418981163253254,0.7243159110707897,1.2248413267984803,-0.4466444082276851,0.6551318263571932,84763,review_after_delivery,"[2017-01-01,2018-08-01)",all canonical reviews vs review-after-delivery; same covariates; category/state count>=500 else Other,reviewed valid orders with covariates; customer-cluster robust covariance
month_2018-04,-0.1322993748270266,0.8760786799127931,0.6738082539429193,1.1390686429061774,-0.9877783336795547,0.32326122082577124,84763,review_after_delivery,"[2017-01-01,2018-08-01)",all canonical reviews vs review-after-delivery; same covariates; category/state count>=500 else Other,reviewed valid orders with covariates; customer-cluster robust covariance
month_2018-05,-0.30079096067027256,0.7402324942791481,0.5681412753163965,0.9644505150265317,-2.2280890344481143,0.025874578376232346,84763,review_after_delivery,"[2017-01-01,2018-08-01)",all canonical reviews vs review-after-delivery; same covariates; category/state count>=500 else Other,reviewed valid orders with covariates; customer-cluster robust covariance
month_2018-06,-0.17150624573846535,0.8423950066246977,0.6468616003849296,1.0970342755914768,-1.2727180870787576,0.2031180970351858,84763,review_after_delivery,"[2017-01-01,2018-08-01)",all canonical reviews vs review-after-delivery; same covariates; category/state count>=500 else Other,reviewed valid orders with covariates; customer-cluster robust covariance
month_2018-07,-0.2951374732494493,0.7444292413243523,0.5706569393564555,0.9711174212017961,-2.1760513285823793,0.029551422707273966,84763,review_after_delivery,"[2017-01-01,2018-08-01)",all canonical reviews vs review-after-delivery; same covariates; category/state count>=500 else Other,reviewed valid orders with covariates; customer-cluster robust covariance
